iter	Passed	Remaining
0	0	38
1	0	33
2	0	30
3	1	27
4	1	27
5	1	26
6	1	26
7	2	26
8	2	25
9	2	25
10	3	24
11	3	24
12	3	24
13	3	23
14	4	23
15	4	23
16	4	22
17	4	22
18	5	22
19	5	22
20	5	21
21	6	21
22	6	21
23	6	20
24	6	20
25	7	20
26	7	20
27	7	19
28	7	19
29	8	19
30	8	18
31	8	18
32	9	18
33	9	18
34	9	17
35	9	17
36	10	17
37	10	16
38	10	16
39	10	16
40	11	16
41	11	15
42	11	15
43	11	15
44	12	14
45	12	14
46	12	14
47	12	13
48	13	13
49	13	13
50	13	13
51	13	12
52	14	12
53	14	12
54	14	11
55	14	11
56	15	11
57	15	11
58	15	10
59	16	10
60	16	10
61	16	10
62	16	9
63	17	9
64	17	9
65	17	9
66	17	8
67	18	8
68	18	8
69	18	8
70	18	7
71	19	7
72	19	7
73	19	6
74	19	6
75	20	6
76	20	6
77	20	5
78	21	5
79	21	5
80	21	5
81	21	4
82	22	4
83	22	4
84	22	4
85	22	3
86	23	3
87	23	3
88	23	2
89	24	2
90	24	2
91	24	2
92	24	1
93	25	1
94	25	1
95	25	1
96	26	0
97	26	0
98	26	0
99	26	0
